disease,loc,number,population,year
MEASLES,ALABAMA,8843,2640000,1928
MEASLES,ARIZONA,847,422000,1928
MEASLES,ARKANSAS,8899,1847000,1928
MEASLES,CALIFORNIA,3698,5344000,1928
MEASLES,COLORADO,2099,1014000,1928
MEASLES,CONNECTICUT,10014,1577000,1928
MEASLES,DELAWARE,597,233000,1928
MEASLES,DISTRICT OF COLUMBIA,2566,479000,1928
MEASLES,FLORIDA,1714,1433000,1928
MEASLES,GEORGIA,4637,2903000,1928
MEASLES,IDAHO,88,449000,1928
MEASLES,ILLINOIS,7444,7576000,1928
MEASLES,INDIANA,8470,3212000,1928
MEASLES,IOWA,702,2450000,1928
MEASLES,KANSAS,2533,1850000,1928
MEASLES,KENTUCKY,5551,2567000,1928
MEASLES,LOUISIANA,5373,2064000,1928
MEASLES,MAINE,3204,797000,1928
MEASLES,MARYLAND,17539,1610000,1928
MEASLES,MASSACHUSETTS,41371,4217000,1928
MEASLES,MICHIGAN,25544,4665000,1928
MEASLES,MINNESOTA,2052,2592000,1928
MEASLES,MISSISSIPPI,0,1981000,1928
MEASLES,MISSOURI,7154,3601000,1928
MEASLES,MONTANA,757,541000,1928
MEASLES,NEBRASKA,1083,1371000,1928
MEASLES,NEW HAMPSHIRE,1274,468000,1928
MEASLES,NEW JERSEY,31631,3968000,1928
MEASLES,NEW MEXICO,2760,416000,1928
MEASLES,NEW YORK,75391,11599000,1928
MEASLES,NORTH CAROLINA,56207,3082000,1928
MEASLES,NORTH DAKOTA,371,665000,1928
MEASLES,OHIO,23522,6608000,1928
MEASLES,OKLAHOMA,6298,2344000,1928
MEASLES,OREGON,2089,936000,1928
MEASLES,PENNSYLVANIA,57237,9802000,1928
MEASLES,RHODE ISLAND,4986,678000,1928
MEASLES,SOUTH CAROLINA,19798,1739000,1928
MEASLES,SOUTH DAKOTA,1097,685000,1928
MEASLES,TENNESSEE,8276,2624000,1928
MEASLES,TEXAS,5524,5675000,1928
MEASLES,UTAH,85,504000,1928
MEASLES,VERMONT,1199,358000,1928
MEASLES,WASHINGTON,5348,1551000,1928
MEASLES,WEST VIRGINIA,3323,1696000,1928
MEASLES,WISCONSIN,3642,2923000,1928
MEASLES,WYOMING,500,220000,1928
POLIO,ALABAMA,62,2640000,1928
POLIO,ARIZONA,11,422000,1928
POLIO,ARKANSAS,10,1847000,1928
POLIO,CALIFORNIA,272,5344000,1928
POLIO,COLORADO,71,1014000,1928
POLIO,CONNECTICUT,72,1577000,1928
POLIO,DELAWARE,8,233000,1928
POLIO,DISTRICT OF COLUMBIA,33,479000,1928
POLIO,FLORIDA,21,1433000,1928
POLIO,GEORGIA,12,2903000,1928
POLIO,IDAHO,39,449000,1928
POLIO,ILLINOIS,114,7576000,1928
POLIO,INDIANA,31,3212000,1928
POLIO,IOWA,34,2450000,1928
POLIO,KANSAS,46,1850000,1928
POLIO,KENTUCKY,48,2567000,1928
POLIO,LOUISIANA,12,2064000,1928
POLIO,MAINE,48,797000,1928
POLIO,MARYLAND,293,1610000,1928
POLIO,MASSACHUSETTS,369,4217000,1928
POLIO,MICHIGAN,75,4665000,1928
POLIO,MINNESOTA,201,2592000,1928
POLIO,MISSISSIPPI,31,1981000,1928
POLIO,MISSOURI,25,3601000,1928
POLIO,MONTANA,63,541000,1928
POLIO,NEBRASKA,38,1371000,1928
POLIO,NEW HAMPSHIRE,21,468000,1928
POLIO,NEW JERSEY,89,3968000,1928
POLIO,NEW MEXICO,18,416000,1928
POLIO,NEW YORK,947,11599000,1928
POLIO,NORTH CAROLINA,48,3082000,1928
POLIO,NORTH DAKOTA,136,665000,1928
POLIO,OHIO,276,6608000,1928
POLIO,OKLAHOMA,37,2344000,1928
POLIO,OREGON,92,936000,1928
POLIO,PENNSYLVANIA,217,9802000,1928
POLIO,RHODE ISLAND,11,678000,1928
POLIO,SOUTH CAROLINA,88,1739000,1928
POLIO,SOUTH DAKOTA,44,685000,1928
POLIO,TENNESSEE,33,2624000,1928
POLIO,TEXAS,38,5675000,1928
POLIO,UTAH,9,504000,1928
POLIO,VERMONT,26,358000,1928
POLIO,VIRGINIA,15,2435000,1928
POLIO,WASHINGTON,322,1551000,1928
POLIO,WEST VIRGINIA,194,1696000,1928
POLIO,WISCONSIN,50,2923000,1928
POLIO,WYOMING,6,220000,1928
SMALLPOX,ALABAMA,341,2640000,1928
SMALLPOX,ARIZONA,410,422000,1928
SMALLPOX,ARKANSAS,248,1847000,1928
SMALLPOX,CALIFORNIA,990,5344000,1928
SMALLPOX,COLORADO,340,1014000,1928
SMALLPOX,CONNECTICUT,161,1577000,1928
SMALLPOX,DELAWARE,2,233000,1928
SMALLPOX,DISTRICT OF COLUMBIA,10,479000,1928
SMALLPOX,FLORIDA,157,1433000,1928
SMALLPOX,GEORGIA,15,2903000,1928
SMALLPOX,IDAHO,363,449000,1928
SMALLPOX,ILLINOIS,1782,7576000,1928
SMALLPOX,INDIANA,3434,3212000,1928
SMALLPOX,IOWA,1651,2450000,1928
SMALLPOX,KANSAS,2474,1850000,1928
SMALLPOX,KENTUCKY,737,2567000,1928
SMALLPOX,LOUISIANA,646,2064000,1928
SMALLPOX,MAINE,95,797000,1928
SMALLPOX,MARYLAND,19,1610000,1928
SMALLPOX,MASSACHUSETTS,9,4217000,1928
SMALLPOX,MICHIGAN,1285,4665000,1928
SMALLPOX,MINNESOTA,111,2592000,1928
SMALLPOX,MISSISSIPPI,132,1981000,1928
SMALLPOX,MISSOURI,1462,3601000,1928
SMALLPOX,MONTANA,846,541000,1928
SMALLPOX,NEBRASKA,1468,1371000,1928
SMALLPOX,NEVADA,0,89000,1928
SMALLPOX,NEW HAMPSHIRE,1,468000,1928
SMALLPOX,NEW JERSEY,91,3968000,1928
SMALLPOX,NEW MEXICO,77,416000,1928
SMALLPOX,NEW YORK,188,11599000,1928
SMALLPOX,NORTH CAROLINA,2402,3082000,1928
SMALLPOX,NORTH DAKOTA,83,665000,1928
SMALLPOX,OHIO,1115,6608000,1928
SMALLPOX,OKLAHOMA,3917,2344000,1928
SMALLPOX,OREGON,1911,936000,1928
SMALLPOX,PENNSYLVANIA,74,9802000,1928
SMALLPOX,RHODE ISLAND,0,678000,1928
SMALLPOX,SOUTH CAROLINA,290,1739000,1928
SMALLPOX,SOUTH DAKOTA,350,685000,1928
SMALLPOX,TENNESSEE,677,2624000,1928
SMALLPOX,TEXAS,1793,5675000,1928
SMALLPOX,UTAH,414,504000,1928
SMALLPOX,VERMONT,10,358000,1928
SMALLPOX,VIRGINIA,2,2435000,1928
SMALLPOX,WASHINGTON,1599,1551000,1928
SMALLPOX,WEST VIRGINIA,1300,1696000,1928
SMALLPOX,WISCONSIN,827,2923000,1928
SMALLPOX,WYOMING,161,220000,1928
MEASLES,ALABAMA,2959,2644000,1929
MEASLES,ARIZONA,236,430000,1929
MEASLES,ARKANSAS,1245,1852000,1929
MEASLES,CALIFORNIA,4024,5531000,1929
MEASLES,COLORADO,748,1008000,1929
MEASLES,CONNECTICUT,9800,1594000,1929
MEASLES,DELAWARE,566,236000,1929
MEASLES,DISTRICT OF COLUMBIA,455,483000,1929
MEASLES,FLORIDA,1127,1445000,1929
MEASLES,GEORGIA,1180,2903000,1929
MEASLES,IDAHO,717,447000,1929
MEASLES,ILLINOIS,38503,7606000,1929
MEASLES,INDIANA,10391,3226000,1929
MEASLES,IOWA,2041,2460000,1929
MEASLES,KANSAS,10370,1867000,1929
MEASLES,KENTUCKY,1125,2606000,1929
MEASLES,LOUISIANA,1853,2086000,1929
MEASLES,MAINE,5732,797000,1929
MEASLES,MARYLAND,2043,1621000,1929
MEASLES,MASSACHUSETTS,14861,4229000,1929
MEASLES,MICHIGAN,18052,4795000,1929
MEASLES,MINNESOTA,12663,2572000,1929
MEASLES,MISSOURI,6644,3622000,1929
MEASLES,MONTANA,4285,524000,1929
MEASLES,NEBRASKA,4166,1375000,1929
MEASLES,NEW HAMPSHIRE,1609,467000,1929
MEASLES,NEW JERSEY,7253,3989000,1929
MEASLES,NEW MEXICO,230,420000,1929
MEASLES,NEW YORK,30318,12171000,1929
MEASLES,NORTH CAROLINA,1207,3133000,1929
MEASLES,NORTH DAKOTA,2286,674000,1929
MEASLES,OHIO,37181,6626000,1929
MEASLES,OKLAHOMA,1095,2372000,1929
MEASLES,OREGON,4662,947000,1929
MEASLES,PENNSYLVANIA,47605,9723000,1929
MEASLES,RHODE ISLAND,1851,684000,1929
MEASLES,SOUTH CAROLINA,211,1739000,1929
MEASLES,SOUTH DAKOTA,1158,690000,1929
MEASLES,TENNESSEE,860,2604000,1929
MEASLES,TEXAS,4107,5762000,1929
MEASLES,UTAH,350,508000,1929
MEASLES,VERMONT,378,359000,1929
MEASLES,WASHINGTON,3866,1555000,1929
MEASLES,WEST VIRGINIA,6527,1717000,1929
MEASLES,WISCONSIN,29825,2934000,1929
MEASLES,WYOMING,696,223000,1929
POLIO,ALABAMA,58,2644000,1929
POLIO,ARIZONA,9,430000,1929
POLIO,ARKANSAS,4,1852000,1929
POLIO,CALIFORNIA,156,5531000,1929
POLIO,COLORADO,13,1008000,1929
POLIO,CONNECTICUT,21,1594000,1929
POLIO,DELAWARE,5,236000,1929
POLIO,DISTRICT OF COLUMBIA,6,483000,1929
POLIO,FLORIDA,34,1445000,1929
POLIO,GEORGIA,24,2903000,1929
POLIO,IDAHO,7,447000,1929
POLIO,ILLINOIS,86,7606000,1929
POLIO,INDIANA,16,3226000,1929
POLIO,IOWA,76,2460000,1929
POLIO,KANSAS,22,1867000,1929
POLIO,KENTUCKY,13,2606000,1929
POLIO,LOUISIANA,8,2086000,1929
POLIO,MAINE,13,797000,1929
POLIO,MARYLAND,22,1621000,1929
POLIO,MASSACHUSETTS,120,4229000,1929
POLIO,MICHIGAN,184,4795000,1929
POLIO,MINNESOTA,30,2572000,1929
POLIO,MISSISSIPPI,14,1998000,1929
POLIO,MISSOURI,16,3622000,1929
POLIO,MONTANA,7,524000,1929
POLIO,NEBRASKA,9,1375000,1929
POLIO,NEW HAMPSHIRE,7,467000,1929
POLIO,NEW JERSEY,59,3989000,1929
POLIO,NEW MEXICO,9,420000,1929
POLIO,NEW YORK,530,12171000,1929
POLIO,NORTH CAROLINA,133,3133000,1929
POLIO,NORTH DAKOTA,16,674000,1929
POLIO,OHIO,189,6626000,1929
POLIO,OKLAHOMA,20,2372000,1929
POLIO,OREGON,34,947000,1929
POLIO,PENNSYLVANIA,197,9723000,1929
POLIO,RHODE ISLAND,11,684000,1929
POLIO,SOUTH CAROLINA,81,1739000,1929
POLIO,SOUTH DAKOTA,3,690000,1929
POLIO,TENNESSEE,93,2604000,1929
POLIO,TEXAS,18,5762000,1929
POLIO,UTAH,4,508000,1929
POLIO,VERMONT,19,359000,1929
POLIO,VIRGINIA,241,2425000,1929
POLIO,WASHINGTON,27,1555000,1929
POLIO,WEST VIRGINIA,58,1717000,1929
POLIO,WISCONSIN,21,2934000,1929
POLIO,WYOMING,3,223000,1929
SMALLPOX,ALABAMA,378,2644000,1929
SMALLPOX,ARIZONA,276,430000,1929
SMALLPOX,ARKANSAS,199,1852000,1929
SMALLPOX,CALIFORNIA,2009,5531000,1929
SMALLPOX,COLORADO,844,1008000,1929
SMALLPOX,CONNECTICUT,43,1594000,1929
SMALLPOX,DELAWARE,2,236000,1929
SMALLPOX,DISTRICT OF COLUMBIA,0,483000,1929
SMALLPOX,FLORIDA,36,1445000,1929
SMALLPOX,GEORGIA,55,2903000,1929
SMALLPOX,IDAHO,555,447000,1929
SMALLPOX,ILLINOIS,4177,7606000,1929
SMALLPOX,INDIANA,3458,3226000,1929
SMALLPOX,IOWA,1885,2460000,1929
SMALLPOX,KANSAS,1919,1867000,1929
SMALLPOX,KENTUCKY,577,2606000,1929
SMALLPOX,LOUISIANA,182,2086000,1929
SMALLPOX,MAINE,74,797000,1929
SMALLPOX,MARYLAND,8,1621000,1929
SMALLPOX,MASSACHUSETTS,63,4229000,1929
SMALLPOX,MICHIGAN,2421,4795000,1929
SMALLPOX,MINNESOTA,188,2572000,1929
SMALLPOX,MISSISSIPPI,32,1998000,1929
SMALLPOX,MISSOURI,1166,3622000,1929
SMALLPOX,MONTANA,540,524000,1929
SMALLPOX,NEBRASKA,1802,1375000,1929
SMALLPOX,NEW HAMPSHIRE,11,467000,1929
SMALLPOX,NEW JERSEY,1,3989000,1929
SMALLPOX,NEW MEXICO,80,420000,1929
SMALLPOX,NEW YORK,289,12171000,1929
SMALLPOX,NORTH CAROLINA,583,3133000,1929
SMALLPOX,NORTH DAKOTA,359,674000,1929
SMALLPOX,OHIO,2968,6626000,1929
SMALLPOX,OKLAHOMA,2059,2372000,1929
SMALLPOX,OREGON,1153,947000,1929
SMALLPOX,PENNSYLVANIA,52,9723000,1929
SMALLPOX,RHODE ISLAND,0,684000,1929
SMALLPOX,SOUTH CAROLINA,109,1739000,1929
SMALLPOX,SOUTH DAKOTA,1095,690000,1929
SMALLPOX,TENNESSEE,246,2604000,1929
SMALLPOX,TEXAS,2442,5762000,1929
SMALLPOX,UTAH,166,508000,1929
SMALLPOX,VERMONT,139,359000,1929
SMALLPOX,VIRGINIA,63,2425000,1929
SMALLPOX,WASHINGTON,2067,1555000,1929
SMALLPOX,WEST VIRGINIA,603,1717000,1929
SMALLPOX,WISCONSIN,681,2934000,1929
SMALLPOX,WYOMING,334,223000,1929
MEASLES,ALABAMA,4156,2647000,1930
MEASLES,ARIZONA,2024,434000,1930
MEASLES,ARKANSAS,994,1859000,1930
MEASLES,CALIFORNIA,43416,5711000,1930
MEASLES,COLORADO,11781,1040000,1930
MEASLES,CONNECTICUT,1810,1613000,1930
MEASLES,DELAWARE,261,239000,1930
MEASLES,DISTRICT OF COLUMBIA,889,488000,1930
MEASLES,FLORIDA,5245,1471000,1930
MEASLES,GEORGIA,4459,2910000,1930
MEASLES,IDAHO,879,447000,1930
MEASLES,ILLINOIS,16517,7644000,1930
MEASLES,INDIANA,3915,3242000,1930
MEASLES,IOWA,9791,2475000,1930
MEASLES,KANSAS,12555,1883000,1930
